DAP,median,q25,q75,mean,std
0.000000000000000000e+00,1.181941852901149947e-01,7.583542328350223460e-02,1.693804517211592309e-01,1.240791882397359741e-01,7.649247148223081716e-02
1.000000000000000000e+00,6.194656338577506083e-02,4.077530851894325958e-02,1.288532621988661697e-01,9.243685934994794184e-02,7.507760223231153829e-02
2.000000000000000000e+00,2.335876682443257385e-02,1.735784575353229581e-02,6.991526199066229463e-02,5.039581622131886901e-02,4.697895650600871637e-02
3.000000000000000000e+00,1.287633714390058748e-02,1.048341777790819974e-02,3.900732351946323978e-02,2.870171515028076270e-02,2.583853892330514879e-02
4.000000000000000000e+00,8.257357683514772451e-03,8.136396646308299146e-03,2.578563132566765934e-02,1.986223275347904701e-02,1.658313056108948191e-02
5.000000000000000000e+00,7.983687251256718284e-03,7.557074624686461843e-03,2.923482812441696374e-02,2.186670608231670865e-02,2.023987245830619758e-02
6.000000000000000000e+00,7.751698170592414769e-03,6.416491413302385233e-03,7.194659560786671737e-02,4.965815862391526059e-02,6.116266904218015110e-02
7.000000000000000000e+00,6.817533992064556125e-03,4.645371751432826254e-03,3.838210651970340448e-02,2.641247418340263511e-02,3.083438052619428757e-02
8.000000000000000000e+00,8.228890286924967282e-03,4.878067473602322110e-03,4.103335504442390258e-02,2.786465158304249345e-02,3.262286683281514360e-02
9.000000000000000000e+00,6.266193096987423931e-03,3.556606996864576480e-03,3.185940960317769355e-02,2.152194670103237117e-02,2.550296909371433177e-02
1.000000000000000000e+01,4.921469721200550165e-03,3.449382781536425822e-03,3.011090090908542793e-02,2.073303255334771680e-02,2.447230663780085302e-02
1.100000000000000000e+01,3.503723659144394702e-03,2.392087427373725591e-03,1.595096877390354481e-02,1.106079624780338146e-02,1.229295931151839008e-02
1.200000000000000000e+01,1.537322427294471328e-03,1.112441493992760797e-03,5.558929780041998656e-03,3.935140040258348904e-03,4.006944393321252434e-03
1.300000000000000000e+01,1.893611033219504743e-03,1.529165878716286881e-03,3.110009153051241336e-03,2.461579676771850564e-03,1.351790600907817712e-03
1.400000000000000000e+01,1.439560678067987494e-03,1.030061359668234082e-03,1.552343548894562913e-03,1.241749713019202166e-03,4.487951044022914877e-04
1.500000000000000000e+01,5.190672501355197282e-04,2.841978468348231070e-04,9.893310376411896222e-04,6.759968396055018739e-04,5.863349377362058390e-04
1.600000000000000000e+01,6.022939825278805087e-04,3.630378405231520292e-04,1.010620687792870452e-03,7.150076913680548539e-04,5.347222513905925409e-04
1.700000000000000000e+01,1.103199332857522598e-03,8.495056664058651345e-04,1.118964673908012797e-03,9.445804492567443133e-04,2.469522482857908425e-04
1.800000000000000000e+01,3.135924406270940721e-04,-1.197121809594698348e-03,4.118196464028587114e-04,-6.280655890035912597e-04,1.472805144931149755e-03
1.900000000000000000e+01,8.294634198132810454e-05,-1.313993380353733597e-03,6.975328023357675426e-04,-4.386224993390867920e-04,1.683302928931220159e-03
2.000000000000000000e+01,-3.818918328482780178e-03,-7.590777298759256858e-03,-1.335125158967406453e-03,-4.677628862323515192e-03,5.143683604174421019e-03
2.100000000000000000e+01,-5.757519182244180689e-03,-6.037613228629451143e-03,-2.125956127204229815e-03,-3.523206509807726931e-03,3.563254703010339686e-03
2.200000000000000000e+01,-1.127247491249497302e-03,-5.517045781948320265e-03,4.741314220783601416e-04,-2.986193742830140982e-03,5.065304542654090574e-03
2.300000000000000000e+01,-2.549530461398642756e-03,-1.201148307519353878e-02,-6.844516259681728953e-04,-7.614112980308260052e-03,9.917632060119798906e-03
2.400000000000000000e+01,-6.964704769464538474e-03,-1.005158316939180722e-02,-2.887660820787023644e-03,-6.304594403631041954e-03,5.867912331096395394e-03
2.500000000000000000e+01,-4.078335966921378675e-03,-5.785857006168826887e-03,-1.497402130244617716e-03,-3.496060768635169888e-03,3.525632664524440581e-03
2.600000000000000000e+01,-7.397217815376396595e-04,-1.977713897680530037e-03,1.892965601799502084e-04,-9.457042978211733326e-04,1.775341454901480792e-03
2.700000000000000000e+01,-4.500004705610642988e-03,-8.616153027960156419e-03,-1.737738180035586655e-03,-5.402592570126947720e-03,5.652349921936790020e-03
2.800000000000000000e+01,1.211602583365872961e-05,-5.265312093509364605e-03,2.243133072861830087e-04,-3.364704532760007163e-03,5.078593955992498007e-03
2.900000000000000000e+01,-2.221818160790450802e-03,-4.594690854435052457e-03,-9.737905560313171120e-04,-2.971714886714096112e-03,3.003628671639634040e-03
3.000000000000000000e+01,-2.019954284612737044e-03,-4.414887296352023802e-03,-7.332897544675843603e-04,-2.758799939008826571e-03,3.051074142677683010e-03
3.100000000000000000e+01,-1.562008116507307420e-03,-2.978203504283981340e-03,-3.784950511804495953e-04,-1.717129664807184744e-03,2.125485209263706064e-03
3.200000000000000000e+01,-2.499509032063603744e-04,-3.307939198095184437e-04,6.699199187759231205e-04,3.094009670463899455e-04,9.077753293272685688e-04
3.300000000000000000e+01,1.471335464958993880e-03,1.036977046622184102e-03,1.493635397999910040e-03,1.196629808095064874e-03,4.204237927915154428e-04
3.400000000000000000e+01,1.702865352485537741e-03,1.374298487855838552e-03,2.036873943843173999e-03,1.706493170304162381e-03,5.409966763135237071e-04
3.500000000000000000e+01,1.985910887112165429e-03,1.627747695553816935e-03,2.338813057172410385e-03,1.982403539446763070e-03,5.805877335996204253e-04
3.600000000000000000e+01,1.994376248010792853e-03,1.967021447235242984e-03,2.835149088651981071e-03,2.536654941254551897e-03,8.058929778622005028e-04
3.700000000000000000e+01,2.811939479813800082e-03,2.373552711370836496e-03,8.366682720009635532e-03,6.222843794315715236e-03,5.455474833135531137e-03
3.800000000000000000e+01,2.940189530066615771e-03,2.907283077649022284e-03,1.507177157833446655e-02,1.100597326063345455e-02,1.145330900873967050e-02
3.900000000000000000e+01,3.933824034500333841e-03,3.733213315412126088e-03,1.957235240740215140e-02,1.422576913704273922e-02,1.483961876578408084e-02
4.000000000000000000e+01,7.820712789586684727e-03,6.547075151482204675e-03,1.965185810246612708e-02,1.485905123943665786e-02,1.180081896291881351e-02
4.100000000000000000e+01,1.383236170539312374e-02,8.940005126552231368e-03,2.507770370116174652e-02,1.806768531667827735e-02,1.351243353000453236e-02
4.200000000000000000e+01,1.521510145297873609e-02,1.086467490792212068e-02,2.839140099231100833e-02,2.109901678249584064e-02,1.490305275082687286e-02
4.300000000000000000e+01,2.149144797288544267e-02,1.470985980025588460e-02,6.309705577096047513e-02,4.470746105651576124e-02,4.278284844445526258e-02
4.400000000000000000e+01,5.500020829189011806e-02,3.293298338246700846e-02,1.173225540254254906e-01,8.183695550796495077e-02,7.146914431723901118e-02
4.500000000000000000e+01,8.037171765128887924e-02,4.559250440220683626e-02,1.822567544961735397e-01,1.251089333818239668e-01,1.159832778384786572e-01
4.600000000000000000e+01,1.142787261378026276e-01,6.339149536000637797e-02,2.114413541230230065e-01,1.451289909427520286e-01,1.228347529777323588e-01
4.700000000000000000e+01,1.500468756182760099e-01,8.365078557174514262e-02,2.647656120764967369e-01,1.822619732260692682e-01,1.496238389322949169e-01
4.800000000000000000e+01,1.844764573626324067e-01,1.118474838939349791e-01,3.707066449489209714e-01,2.602106001076931463e-01,2.180364045216426905e-01
4.900000000000000000e+01,2.405209810607846777e-01,1.878692920460455218e-01,3.688859494174266951e-01,2.909965006220532335e-01,1.520479393747095342e-01
5.000000000000000000e+01,3.224811612586548359e-01,2.991747588863787888e-01,5.752520273291270581e-01,4.754574703907856192e-01,2.500266272720783611e-01
5.100000000000000000e+01,5.005571165815445589e-01,4.225768410233955996e-01,6.910561309594742685e-01,5.755696091280650961e-01,2.255382963092408266e-01
5.200000000000000000e+01,5.917475339667053191e-01,4.941169481305200950e-01,8.396802403561034467e-01,6.919489476688472918e-01,2.909114772741183130e-01
5.300000000000000000e+01,7.257194543381170204e-01,6.054812041850896609e-01,9.913267849927076547e-01,8.226321746724924999e-01,3.224085076945341077e-01
5.400000000000000000e+01,8.397972188257386561e-01,7.500629946558958761e-01,1.117872643329150373e+00,9.653580190481179102e-01,3.131645718271316436e-01
5.500000000000000000e+01,9.748316243207173493e-01,8.806719134987747166e-01,1.312052052112741229e+00,1.136872102300771514e+00,3.703886799643569261e-01
